name,pokedex_number,type1,type2,abilities,generation,is_legendary,base_total,capture_rate,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,classfication,defense,experience_growth,height_m,hp,japanese_name,percentage_male,sp_attack,sp_defense,speed,weight_kg
Metapod,11,bug,,['Shed Skin'],1,0,205,120,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,Cocoon Pokémon,55,1000000,0.7,50,Transelトランセル,50,25,25,30,9.9
Butterfree,12,bug,flying,"['Compoundeyes', 'Tinted Lens']",1,0,395,45,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,50,90,80,70,32
Weedle,13,bug,poison,"['Shield Dust', 'Run Away']",1,0,195,255,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,50,20,20,50,3.2
Kakuna,14,bug,poison,['Shed Skin'],1,0,205,120,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,50,25,25,35,10
Beedrill,15,bug,poison,"['Swarm', 'Sniper']",1,0,495,45,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,Poison Bee Pokémon,40,1000000,1,65,Spearスピアー,50,15,80,145,29.5
Pidgey,16,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,0,251,255,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,50,35,35,56,1.8
Pidgeotto,17,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,0,349,120,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,50,50,50,71,30
Pidgeot,18,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,0,579,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,50,135,80,121,39.5
Rattata,19,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,0,253,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,Mouse Pokémon,35,1000000,,30,Korattaコラッタ,50,25,35,72,
Raticate,20,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,0,413,127,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,Mouse Pokémon,70,1000000,,75,Rattaラッタ,50,40,80,77,
Spearow,21,normal,flying,"['Keen Eye', 'Sniper']",1,0,262,255,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,50,31,31,70,2
Fearow,22,normal,flying,"['Keen Eye', 'Sniper']",1,0,442,90,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,50,61,61,100,38
Ekans,23,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",1,0,288,255,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,Snake Pokémon,44,1000000,2,35,Arboアーボ,50,40,54,55,6.9
Arbok,24,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",1,0,448,90,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,50,65,79,80,65
Pikachu,25,electric,,"['Static', 'Lightningrod']",1,0,320,190,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,50,50,50,90,6
Raichu,26,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",1,0,485,75,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,Mouse Pokémon,50,1000000,,60,Raichuライチュウ,50,95,85,110,
Sandshrew,27,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,0,300,255,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,Mouse Pokémon,90,1000000,,50,Sandサンド,50,10,35,40,
Sandslash,28,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,0,450,90,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,Mouse Pokémon,120,1000000,,75,Sandpanサンドパン,50,25,65,65,
Nidoran♀,29,poison,,"['Poison Point', 'Rivalry', 'Hustle']",1,0,275,235,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,0,40,40,41,7
Nidorina,30,poison,,"['Poison Point', 'Rivalry', 'Hustle']",1,0,365,120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,0,55,55,56,20
Nidoqueen,31,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",1,0,505,45,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,0,75,85,76,60
Nidoran♂,32,poison,,"['Poison Point', 'Rivalry', 'Hustle']",1,0,273,235,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,100,40,40,50,9
Nidorino,33,poison,,"['Poison Point', 'Rivalry', 'Hustle']",1,0,365,120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,100,55,55,65,19.5
Nidoking,34,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",1,0,505,45,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,100,85,75,85,62
Clefairy,35,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",1,0,323,150,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,24.6,60,65,35,7.5
Clefable,36,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",1,0,483,25,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,24.6,95,90,60,40
Vulpix,37,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1,0,299,190,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,Fox Pokémon,40,1000000,,38,Rokonロコン,24.6,50,65,65,
Ninetales,38,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1,0,505,75,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,Fox Pokémon,75,1000000,,73,Kyukonキュウコン,24.6,81,100,109,
Jigglypuff,39,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",1,0,270,170,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,Balloon Pokémon,20,800000,0.5,115,Purinプリン,24.6,45,25,20,5.5
Wigglytuff,40,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",1,0,435,50,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,Balloon Pokémon,45,800000,1,140,Pukurinプクリン,24.6,85,50,45,12
Zubat,41,poison,flying,"['Inner Focus', 'Infiltrator']",1,0,245,255,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,50,30,40,55,7.5
Golbat,42,poison,flying,"['Inner Focus', 'Infiltrator']",1,0,455,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,50,65,75,90,55
Oddish,43,grass,poison,"['Chlorophyll', 'Run Away']",1,0,320,255,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,50,75,65,30,5.4
Gloom,44,grass,poison,"['Chlorophyll', 'Stench']",1,0,395,120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,50,85,75,40,8.6
Vileplume,45,grass,poison,"['Chlorophyll', 'Effect Spore']",1,0,490,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,50,110,90,50,18.6
Paras,46,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",1,0,285,190,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,50,45,55,25,5.4
Parasect,47,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",1,0,405,75,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,Mushroom Pokémon,80,1000000,1,60,Parasectパラセクト,50,60,80,30,29.5
Venonat,48,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",1,0,305,190,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,Insect Pokémon,50,1000000,1,60,Kongpangコンパン,50,40,55,45,30
Venomoth,49,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",1,0,450,75,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,Poison Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,50,90,75,90,12.5
Diglett,50,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,0,265,255,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,Mole Pokémon,30,1000000,,10,Digdaディグダ,50,35,45,90,
Dugtrio,51,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,0,425,50,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,Mole Pokémon,60,1000000,,35,Dugtrioダグトリオ,50,50,70,110,
Meowth,52,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,0,290,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,Scratch Cat Pokémon,35,1000000,,40,Nyarthニャース,50,50,40,90,
Persian,53,normal,dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,0,440,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,Classy Cat Pokémon,60,1000000,,65,Persianペルシアン,50,75,65,115,
Psyduck,54,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",1,0,320,190,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,50,65,50,55,19.6
Golduck,55,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",1,0,500,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,50,95,80,85,76.6
Mankey,56,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",1,0,305,190,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,50,35,45,70,28
Primeape,57,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",1,0,455,75,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,Pig Monkey Pokémon,60,1000000,1,65,Okorizaruオコリザル,50,60,70,95,32
Growlithe,58,fire,,"['Intimidate', 'Flash Fire', 'Justified']",1,0,350,190,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,75.4,70,50,60,19
Arcanine,59,fire,,"['Intimidate', 'Flash Fire', 'Justified']",1,0,555,75,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,75.4,100,80,95,155
Poliwag,60,water,,"['Water Absorb', 'Damp', 'Swift Swim']",1,0,300,255,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,50,40,40,90,12.4
Poliwhirl,61,water,,"['Water Absorb', 'Damp', 'Swift Swim']",1,0,385,120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,Tadpole Pokémon,65,1059860,1,65,Nyorozoニョロゾ,50,50,50,90,20
Poliwrath,62,water,fighting,"['Water Absorb', 'Damp', 'Swift Swim']",1,0,510,45,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,50,70,90,70,54
Abra,63,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,0,310,200,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,Psi Pokémon,15,1059860,0.9,25,Caseyケーシィ,75.4,105,55,90,19.5
Kadabra,64,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,0,400,100,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,Psi Pokémon,30,1059860,1.3,40,Yungererユンゲラー,75.4,120,70,105,56.5
Alakazam,65,psychic,,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,0,600,50,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,Psi Pokémon,65,1059860,1.5,55,Foodinフーディン,75.4,175,105,150,48
Machop,66,fighting,,"['Guts', 'No Guard', 'Steadfast']",1,0,305,180,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,Superpower Pokémon,50,1059860,0.8,70,Wanrikyワンリキー,75.4,35,35,35,19.5
Machoke,67,fighting,,"['Guts', 'No Guard', 'Steadfast']",1,0,405,90,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,Superpower Pokémon,70,1059860,1.5,80,Gorikyゴーリキー,75.4,50,60,45,70.5
Machamp,68,fighting,,"['Guts', 'No Guard', 'Steadfast']",1,0,505,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,Superpower Pokémon,80,1059860,1.6,90,Kairikyカイリキー,75.4,65,85,55,130
Bellsprout,69,grass,poison,"['Chlorophyll', 'Gluttony']",1,0,300,255,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,Flower Pokémon,35,1059860,0.7,50,Madatsubomiマダツボミ,50,70,30,40,4
Weepinbell,70,grass,poison,"['Chlorophyll', 'Gluttony']",1,0,390,120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,Flycatcher Pokémon,50,1059860,1,65,Utsudonウツドン,50,85,45,55,6.4
Victreebel,71,grass,poison,"['Chlorophyll', 'Gluttony']",1,0,490,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,Flycatcher Pokémon,65,1059860,1.7,80,Utsubotウツボット,50,100,70,70,15.5
Tentacool,72,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1,0,335,190,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,Jellyfish Pokémon,35,1250000,0.9,40,Menokurageメノクラゲ,50,50,100,70,45.5
Tentacruel,73,water,poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1,0,515,60,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,Jellyfish Pokémon,65,1250000,1.6,80,Dokukurageドククラゲ,50,80,120,100,55
Geodude,74,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,0,300,255,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,Rock Pokémon,100,1059860,,40,Isitsubuteイシツブテ,50,30,30,20,
Graveler,75,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,0,390,120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,Rock Pokémon,115,1059860,,55,Goloneゴローン,50,45,45,35,
Golem,76,rock,ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,0,495,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,Megaton Pokémon,130,1059860,,80,Golonyaゴローニャ,50,55,65,45,
Ponyta,77,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",1,0,410,190,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,Fire Horse Pokémon,55,1000000,1,50,Ponytaポニータ,50,65,65,90,30
Rapidash,78,fire,,"['Run Away', 'Flash Fire', 'Flame Body']",1,0,500,60,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,Fire Horse Pokémon,70,1000000,1.7,65,Gallopギャロップ,50,80,80,105,95
Slowpoke,79,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",1,0,315,190,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,Dopey Pokémon,65,1000000,1.2,90,Yadonヤドン,50,40,40,15,36
Slowbro,80,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",1,0,590,75,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,Hermit Crab Pokémon,180,1000000,1.6,95,Yadoranヤドラン,50,130,80,30,78.5
Magnemite,81,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",1,0,325,190,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,Magnet Pokémon,70,1000000,0.3,25,Coilコイル,,95,55,45,6
Magneton,82,electric,steel,"['Magnet Pull', 'Sturdy', 'Analytic']",1,0,465,60,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,Magnet Pokémon,95,1000000,1,50,Rarecoilレアコイル,,120,70,70,60
Farfetch'd,83,normal,flying,"['Keen Eye', 'Inner Focus', 'Defiant']",1,0,377,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,Wild Duck Pokémon,55,1000000,0.8,52,Kamonegiカモネギ,50,58,62,60,15
Doduo,84,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",1,0,310,190,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,Twin Bird Pokémon,45,1000000,1.4,35,Dodoドードー,50,35,35,75,39.2
Dodrio,85,normal,flying,"['Run Away', 'Early Bird', 'Tangled Feet']",1,0,470,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,Triple Bird Pokémon,70,1000000,1.8,60,Dodorioドードリオ,50,60,60,110,85.2
Seel,86,water,,"['Thick Fat', 'Hydration', 'Ice Body']",1,0,325,190,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,Sea Lion Pokémon,55,1000000,1.1,65,Pawouパウワウ,50,45,70,45,90
Dewgong,87,water,ice,"['Thick Fat', 'Hydration', 'Ice Body']",1,0,475,75,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,Sea Lion Pokémon,80,1000000,1.7,90,Jugonジュゴン,50,70,95,70,120
Grimer,88,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1,0,325,190,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,Sludge Pokémon,50,1000000,,80,Betbeterベトベター,50,40,50,25,
Muk,89,poison,poison,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1,0,500,75,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,Sludge Pokémon,75,1000000,,105,Betbetonベトベトン,50,65,100,50,
Shellder,90,water,,"['Shell Armor', 'Skill Link', 'Overcoat']",1,0,305,190,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,Bivalve Pokémon,100,1250000,0.3,30,Shellderシェルダー,50,45,25,40,4
Cloyster,91,water,ice,"['Shell Armor', 'Skill Link', 'Overcoat']",1,0,525,60,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,Bivalve Pokémon,180,1250000,1.5,50,Parshenパルシェン,50,85,45,70,132.5
Gastly,92,ghost,poison,['Levitate'],1,0,310,190,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,Gas Pokémon,30,1059860,1.3,30,Ghosゴース,50,100,35,80,0.1
Haunter,93,ghost,poison,['Levitate'],1,0,405,90,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,Gas Pokémon,45,1059860,1.6,45,Ghostゴースト,50,115,55,95,0.1
Gengar,94,ghost,poison,['Cursed Body'],1,0,600,45,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,Shadow Pokémon,80,1059860,1.5,60,Gangarゲンガー,50,170,95,130,40.5
Onix,95,rock,ground,"['Rock Head', 'Sturdy', 'Weak Armor']",1,0,385,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,Rock Snake Pokémon,160,1000000,8.8,35,Iwarkイワーク,50,30,45,70,210
Drowzee,96,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",1,0,328,190,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,Hypnosis Pokémon,45,1000000,1,60,Sleepeスリープ,50,43,90,42,32.4
